data,variavel,valor
1993-08-01,Não comercializáveis,32.91
1993-08-01,Não-duráveis,33.02
1993-08-01,Semi-duráveis,28.65
1993-08-01,Serviços,33.5
1993-09-01,Comercializáveis,35.43
1993-09-01,Duráveis,29.35
1993-09-01,Livres,35.6
1993-09-01,Monitorados,36.14
1993-09-01,Não comercializáveis,35.81
1993-09-01,Não-duráveis,36.35
1993-09-01,Semi-duráveis,34.87
1993-09-01,Serviços,36.36
1993-10-01,Comercializáveis,35.13
1993-10-01,Duráveis,31.53
1993-10-01,Livres,33.78
1993-10-01,Monitorados,34.63
1993-10-01,Não comercializáveis,32.21
1993-10-01,Não-duráveis,35.05
1993-10-01,Semi-duráveis,35.15
1993-10-01,Serviços,32.08
1993-11-01,Comercializáveis,36.56
1993-11-01,Duráveis,36.07
1993-11-01,Livres,35.58
1993-11-01,Monitorados,35.47
1993-11-01,Não comercializáveis,34.4
1993-11-01,Não-duráveis,37.17
1993-11-01,Semi-duráveis,36.13
1993-11-01,Serviços,33.01
1993-12-01,Comercializáveis,37.94
1993-12-01,Duráveis,35.39
1993-12-01,Livres,36.97
1993-12-01,Monitorados,36.16
1993-12-01,Não comercializáveis,35.79
1993-12-01,Não-duráveis,39.14
1993-12-01,Semi-duráveis,37.87
1993-12-01,Serviços,33.85
1994-01-01,Comercializáveis,40.15
1994-01-01,Duráveis,38.31
1994-01-01,Livres,41.96
1994-01-01,Monitorados,37.74
1994-01-01,Não comercializáveis,44.63
1994-01-01,Não-duráveis,45.52
1994-01-01,Semi-duráveis,36.88
1994-01-01,Serviços,42.08
1994-02-01,Comercializáveis,38.08
1994-02-01,Duráveis,42.38
1994-02-01,Livres,39.88
1994-02-01,Monitorados,42.49
1994-02-01,Não comercializáveis,42.46
1994-02-01,Não-duráveis,40.88
1994-02-01,Semi-duráveis,34.44
1994-02-01,Serviços,41.38
1994-03-01,Comercializáveis,41.88
1994-03-01,Duráveis,41.22
1994-03-01,Livres,43.01
1994-03-01,Monitorados,41.27
1994-03-01,Não comercializáveis,44.59
1994-03-01,Não-duráveis,43.8
1994-03-01,Semi-duráveis,41.15
1994-03-01,Serviços,43.95
1994-04-01,Comercializáveis,44.41
1994-04-01,Duráveis,43.09
1994-04-01,Livres,42.78
1994-04-01,Monitorados,42.14
1994-04-01,Não comercializáveis,40.55
1994-04-01,Não-duráveis,42.85
1994-04-01,Semi-duráveis,43.71
1994-04-01,Serviços,41.83
1994-05-01,Comercializáveis,44.34
1994-05-01,Duráveis,46.04
1994-05-01,Livres,43.82
1994-05-01,Monitorados,45.22
1994-05-01,Não comercializáveis,43.09
1994-05-01,Não-duráveis,41.01
1994-05-01,Semi-duráveis,46.59
1994-05-01,Serviços,45.42
1994-06-01,Comercializáveis,50.94
1994-06-01,Duráveis,46.84
1994-06-01,Livres,48.32
1994-06-01,Monitorados,42.41
1994-06-01,Não comercializáveis,44.62
1994-06-01,Não-duráveis,51.61
1994-06-01,Semi-duráveis,48.2
1994-06-01,Serviços,43.79
1994-07-01,Comercializáveis,5.99
1994-07-01,Duráveis,4.89
1994-07-01,Livres,7.22
1994-07-01,Monitorados,4.64
1994-07-01,Não comercializáveis,9.02
1994-07-01,Não-duráveis,8.53
1994-07-01,Semi-duráveis,9.28
1994-07-01,Serviços,4.46
1994-08-01,Comercializáveis,-0.23
1994-08-01,Duráveis,2.83
1994-08-01,Livres,2.19
1994-08-01,Monitorados,-0.12
1994-08-01,Não comercializáveis,5.67
1994-08-01,Não-duráveis,0.96
1994-08-01,Semi-duráveis,0.25
1994-08-01,Serviços,5.63
1994-09-01,Comercializáveis,0.16
1994-09-01,Duráveis,1.91
1994-09-01,Livres,1.81
1994-09-01,Monitorados,-0.16
1994-09-01,Não comercializáveis,4.04
1994-09-01,Não-duráveis,-0.05
1994-09-01,Semi-duráveis,1.73
1994-09-01,Serviços,4.95
1994-10-01,Comercializáveis,2.71
1994-10-01,Duráveis,2.2
1994-10-01,Livres,3.15
1994-10-01,Monitorados,-0.72
1994-10-01,Não comercializáveis,3.73
1994-10-01,Não-duráveis,3.65
1994-10-01,Semi-duráveis,2.09
1994-10-01,Serviços,3.58
1994-11-01,Comercializáveis,2.85
1994-11-01,Duráveis,2.48
1994-11-01,Livres,3.36
1994-11-01,Monitorados,-0.79
1994-11-01,Não comercializáveis,4.03
1994-11-01,Não-duráveis,3.82
1994-11-01,Semi-duráveis,2.02
1994-11-01,Serviços,4.01
1994-12-01,Comercializáveis,1.42
1994-12-01,Duráveis,0.83
1994-12-01,Livres,1.96
1994-12-01,Monitorados,0.04
1994-12-01,Não comercializáveis,2.64
1994-12-01,Não-duráveis,0.86
1994-12-01,Semi-duráveis,2.83
1994-12-01,Serviços,3.56
1995-01-01,Comercializáveis,0.48
1995-01-01,Duráveis,0.9
1995-01-01,Livres,1.98
1995-01-01,Monitorados,-0.25
1995-01-01,Não comercializáveis,3.89
1995-01-01,Não-duráveis,0.69
1995-01-01,Semi-duráveis,0.96
1995-01-01,Serviços,5.18
1995-02-01,Comercializáveis,-0.19
1995-02-01,Duráveis,1.04
1995-02-01,Livres,1.1
1995-02-01,Monitorados,0.48
1995-02-01,Não comercializáveis,2.67
1995-02-01,Não-duráveis,0.42
1995-02-01,Semi-duráveis,-0.32
1995-02-01,Serviços,3.09
1995-03-01,Comercializáveis,0.18
1995-03-01,Duráveis,0.91
1995-03-01,Livres,1.72
1995-03-01,Monitorados,0.36
1995-03-01,Não comercializáveis,3.55
1995-03-01,Não-duráveis,1.33
1995-03-01,Semi-duráveis,-0.13
1995-03-01,Serviços,3.83
1995-04-01,Comercializáveis,1.94
1995-04-01,Duráveis,1.12
1995-04-01,Livres,2.73
1995-04-01,Monitorados,0.28
1995-04-01,Não comercializáveis,3.64
1995-04-01,Não-duráveis,2.17
1995-04-01,Semi-duráveis,2.5
1995-04-01,Serviços,4.29
1995-05-01,Comercializáveis,1.71
1995-05-01,Duráveis,1.47
1995-05-01,Livres,2.99
1995-05-01,Monitorados,0.3
1995-05-01,Não comercializáveis,4.44
1995-05-01,Não-duráveis,0.74
1995-05-01,Semi-duráveis,2.64
1995-05-01,Serviços,6.91
